10:31 AM - Race #115 - Heat 8 - Advancement/Progression: 1/4 to SF; Rest Out,col_1,col_2,col_3,col_4,col_5
Place,Ln/co,Crew / équipage,Club,Time/temps,Delta
1,5,Nicholas LAPIERRE,Banook,1:47.802,0:00.000
2,4,Oscar GRAVES,North Bay,1:49.371,0:01.569
3,1,Jacob LÉVESQUE,Otterburn,1:50.227,0:02.425
4,3,Benjamin PELLETIER,Trois Rivieres,1:52.026,0:04.224
5,6,George FARNSWORTH,Rideau,1:55.647,0:07.845
6,8,Andrew EMOND,Trois Rivieres,1:57.118,0:09.316
7,7,Ethan OLSON-MESA,Toba,2:02.492,0:14.690
8,2,Gavin GARNETT,Mic Mac,2:07.647,0:19.845
