Hommes C-1 200m,col_1,col_2,col_3
11:20 Course n° 19 Samedi 24 mai Finale,,,
Couloir,Club rang Équipage,Résultats,Temps
5,Pointe-Claire 1 Elliot Arnautovitch,1,"45,67"
8,Otterburn 7 Noa Piché,2,"48,08"
4,Otterburn 2 Étienne Gamache,3,"48,19"
3,Lachine 4 Noam Brault,4,"49,77"
6,Otterburn 3 Philippe Richer-Simard,5,"49,84"
7,Otterburn 5 Ludovik Rioux,6,"50,74"
2,Otterburn 6 Antoine Gamache,7,"51,82"
9,Lachine 9 Adam Marcoux,8,"52,01"
1,Lac-Beauport 8 Christophe Desrochers,9,"53,06"
Femmes C-1 200m,,,
11:30 Course n° 20 Samedi 24 mai Finale,,,
Couloir,Club rang Équipage,Résultats,Temps
5,Lac-Beauport 1 Elizabeth Desrosiers-Mcarthur,1,"52,08"
4,Otterburn 2 Amélie Laliberté,2,"52,72"
2,Lac-Beauport 6 Alexia Gagnon,3,"53,91"
3,Lac-Beauport 3 Charlotte Désy,4,"54,26"
6,Otterburn 4 Léanne Castonguay,5,"56,19"
7,Lac-Beauport 5 Léia Stephenson,6,"57,58"
8,Lac-Beauport 10 Maya Noël,7,"58,52"
9,Trois-Rivières 7 Flavie Martin,8,"1:01,26"
1,Cascade 8 Florence Gauthier,9,"1:02,16"
Femmes K-1 200m,,,
11:40 Course n° 21 Samedi 24 mai Finale,,,
Couloir,Club rang Équipage,Résultats,Temps
5,Lachine 1 Alina Tverie,1,"46,71"
4,Lachine 3 Calina Bidal,2,"47,95"
2,Lac-Beauport 7 Marie Chamberland,3,"48,88"
6,Lachine 5 Florence Hamel,4,"48,96"
3,Trois-Rivières 11 Anaïs Lapointe,5,"49,54"
1,Lachine 2 Béatrice charbonneau-Morin,6,"50,63"
8,Trois-Rivières 6 Mathilde Patry,7,"50,87"
7,Sherbrooke 12 Victoria Lavallée-Latour,8,"51,69"
9,Trois-Rivières 8 Maïka St-Yves,9,"52,28"
Hommes K-1 200m,,,
11:50 Course n° 22 Samedi 24 mai Finale,,,
Couloir,Club rang Équipage,Résultats,Temps
5,Lac-Beauport 1 Raphaël Côté,1,"39,72"
4,Pointe-Claire 2 Cedric Liu,2,"40,18"
2,Trois-Rivières 3 Jérémy Pelletier,3,"40,52"
6,Lac-Beauport 7 Thoma Sinotte,4,"41,16"
1,Lac-Beauport 10 Hemrick Leclerq,5,"41,34"
8,Trois-Rivières 19 Benjamin Pelletier,6,"42,50"
3,Cascade 6 Leo Carmichael,7,"42,82"
7,Pointe-Claire 8 Émile Paquette,8,"43,02"
9,Lac-Beauport 12 Louis Enzo Roy,9,"44,09"
