Place,Ln/co,Crew / équipage,Club,Time/temps,Delta
1,7,Elliot ARNAUTOVITCH,Pointe-Claire,4:15.692,0:00.000
2,4,Eric CHOUINARD,Mic Mac,4:17.807,0:02.115
3,1,Cole NORMAN,Rideau,4:18.824,0:03.132
4,6,Duncan GILES,Senobe,4:22.778,0:07.086
5,3,Édouard BEAUMIER,Lac-Beauport,4:23.106,0:07.414
6,5,Edgar C DÉSY,Lac-Beauport,4:27.267,0:11.575
7,8,Shawn GE,Burloak,4:30.439,0:14.747
8,2,Alexander MACNEIL,Maskwa,4:53.318,0:37.626
