Place,Ln/co,Crew / équipage,Club,Time/temps,Delta
1,4,Vincent JOURDENAIS,Trois Rivieres,3:41.424,0:00.000
2,5,Nicholas MATVEEV,Balmy Beach,3:42.153,0:00.729
3,7,Cameron LOW,Balmy Beach,3:42.906,0:01.482
4,6,Ian GAUDET,Banook,3:43.998,0:02.574
5,2,Alex CANNING,Banook,3:44.510,0:03.086
6,3,Alex ERITH-ELLWOOD,Senobe,3:46.378,0:04.954
7,8,Jason BURKHOLDER,Burloak,3:46.694,0:05.270
8,1,Nathan DAOUST,Pointe-Claire,3:48.573,0:07.149
9,9,Carson COREY,Burloak,3:51.918,0:10.494
