Place,Ln/co,Crew / équipage,Club,Time/temps,Delta
1,6,Alex ERITH-ELLWOOD,Senobe,3:46.907,0:00.000
2,5,Jason BURKHOLDER,Burloak,3:47.447,0:00.540
3,4,Nathan DAOUST,Pointe-Claire,3:47.930,0:01.023
4,3,Nathan KONÉ,Trois Rivieres,3:49.274,0:02.367
5,1,Thomas SINOTTE,Lachine,3:50.763,0:03.856
6,2,Mathieu GILBERT,Trois Rivieres,3:51.067,0:04.160
7,7,Ryan NARODITSKY,Rideau,3:51.292,0:04.385
8,8,Alexander HOFEREK,Rideau,4:10.263,0:23.356
