Place,Ln/co,Crew / équipage,Club,Time/temps,Delta
1,4,Craig JOHNSON,Senobe,3:47.873,0:00.000
2,6,Lucas STEIN,Balmy Beach,3:49.448,0:01.575
3,1,Ryan NARODITSKY,Rideau,3:50.298,0:02.425
4,2,Raphaël CÔTÉ,Lac-Beauport,3:50.465,0:02.592
5,5,Nathan KONÉ,Trois Rivieres,3:50.959,0:03.086
6,7,Mathieu GILBERT,Trois Rivieres,3:51.000,0:03.127
7,3,Thomas SINOTTE,Lachine,3:52.701,0:04.828
8,8,Carter NAUGLER,Senobe,3:56.672,0:08.799
9,9,Cedric LIU,Pointe-Claire,4:01.488,0:13.615
