5:25 PM - Race #291 - Final,col_1,col_2,col_3,col_4,col_5
Place,Ln/co,Crew / équipage,Club,Time/temps,Delta
1,6,"Reuben LOZADA, Alexander SHIROKOV",Mississauga,3:38.170,0:00.000
2,4,"Victor GIRARD, Jonathan PIGEON",Lac-Beauport,3:40.276,0:02.106
3,5,"William TOWNSEND, Ben WALKER",Maskwa,3:40.831,0:02.661
4,7,"Christos GIANNOU, Luke MACKENZIE",Maskwa,3:47.598,0:09.428
5,8,"Patrick COMEAU, Matthew SEXTON",Pisiquid,3:48.437,0:10.267
6,3,"Guillermo GONZALEZ, Alex SHERIDAN",Balmy Beach,3:50.576,0:12.406
7,1,"Samuel EDGERTON, Joshua REID",Kamloops,3:51.009,0:12.839
8,9,"Will SYROISHKA, Finn TALLON",Saskatoon,3:54.242,0:16.072
9,2,"Alexander HOLIC, Michael SUN",Richmond Hill,3:54.753,0:16.583
