3:37 PM - Race #274 - Final,col_1,col_2,col_3,col_4,col_5
Place,Ln/co,Crew / équipage,Club,Time/temps,Delta
1,7,"Chloe BRYER, Eva LOOPER",Burloak,1:00.000,0:00.000
2,5,"Anais LAPOINTE, Mathilde PATRY",Trois Rivieres,2:00.000,1:00.000
3,6,"Nora HANSON, Chantal IP",Toba,3:00.000,2:00.000
4,3,"Sophie BOUVETTE, Olivia MURPHY",Banook,4:00.000,3:00.000
5,4,"Daphnée CHAMPAGNE, Anna-Marya IZMAYLOV",Sherbrooke,5:00.000,4:00.000
6,2,"Rhiannon BAMBRICK, Maria TIERRAFRIA",Rideau,6:00.000,5:00.000
7,8,"Hannah MILLS, Morgan PUGH TOOLE",Maskwa,7:00.000,6:00.000
8,9,"Shany LAVIE, Willow VAN AKKER",Burnaby,8:00.000,7:00.000
9,1,"Sophia MOISE DOS SANTOS, Kaiya Leah SCHADE",Pointe-Claire,9:00.000,8:00.000
