3:10 PM - Race #72 - Heat 2 - Advancement/Progression: First 2 each heat and 3 next fastest to Final A,col_1,col_2,col_3,col_4,col_5
Place,Ln/co,Crew / équipage,Club,Time/temps,Delta
1,1,Liam MACDONALD,Senobe,2:07.142,0:00.000
2,6,Adam SCHLOSSER,Rideau,2:07.281,0:00.139
3,5,Justin BOYKO,Calgary,2:07.687,0:00.545
4,3,Noa PICHÉ,Otterburn,2:08.142,0:01.000
5,2,Emmett PATTERSON,Wascana,2:11.192,0:04.050
6,8,Christophe DESROCHERS,Lac-Beauport,2:12.148,0:05.006
7,4,Nate NEULS,Kamloops,2:13.704,0:06.562
8,9,Matthew MACDONALD,Banook,2:18.148,0:11.006
9,7,Zachary SMITH,Fort,2:20.720,0:13.578
