10:16 AM - Race #125 - Heat 3 - Advancement/Progression: First 2 each heat and 3 next fastest to Final A,col_1,col_2,col_3,col_4,col_5
Place,Ln/co,Crew / équipage,Club,Time/temps,Delta
1,4,Shawn GE,Burloak,4:17.525,0:00.000
2,6,Corben HICKEY,Kamloops,4:22.013,0:04.488
3,7,Sean GLYNN,Mississauga,4:25.158,0:07.633
4,3,Antoine GAMACHE,Otterburn,4:25.641,0:08.116
5,9,Matthew MACDONALD,Banook,4:28.530,0:11.005
6,8,Adam MARCOUX,Lachine,4:33.302,0:15.777
7,5,Wesley BARTLETT,Rideau,4:39.941,0:22.416
8,1,William WINTONIW,Toba,4:45.341,0:27.816
9,2,Hayden MCCULLOCH,Fort,4:47.636,0:30.111
