Place,Ln/co,Crew / équipage,Club,Time/temps,Delta
1,6,Maxime COMPTE,Otterburn,2:31.871,0:00.000
2,4,Eric WEISS,Mississauga,2:36.488,0:04.617
3,3,Jean- Francois BOUSQUET,Maskwa,2:37.115,0:05.244
4,2,Eric MIHALOVIC,Pointe-Claire,2:53.338,0:21.467
5,7,Don ANDERSON,Wascana,3:56.688,1:24.817
DNS,5,Dmytro PAVLOV,Wascana,0:00.000,0:00.000
