Place,Ln/co,Crew / équipage,Club,Time/temps,Delta
1,4,Willy LEE,Wascana,2:00.998,0:00.000
2,5,Dan HALAS,Burloak,2:04.131,0:03.133
3,3,Trevor MACLEAN,Senobe,2:04.248,0:03.250
4,2,Zeljko CAKIC,Collingwood,2:16.809,0:15.811
5,7,Robert NOWOSIELSKI,Wascana,2:31.481,0:30.483
6,8,Corwy LEISLE,Wascana,3:00.643,0:59.645
