3:15 PM - Race #73 - Heat 3 - Advancement/Progression: First 2 each heat and 3 next fastest to Final A,col_1,col_2,col_3,col_4,col_5
Place,Ln/co,Crew / équipage,Club,Time/temps,Delta
1,6,Matthew BROWN,Maskwa,2:09.779,0:00.000
2,3,Noah AL HASHEMI,Mississauga,2:12.157,0:02.378
3,8,Aleksander SEREMAK,Toba,2:13.318,0:03.539
4,5,Wesley BARTLETT,Rideau,2:14.063,0:04.284
5,4,Antoine GAMACHE,Otterburn,2:14.729,0:04.950
6,2,Cameron HALL,Cheema,2:14.963,0:05.184
7,9,Owen WHITE,Senobe,2:18.018,0:08.239
8,7,Adam MARCOUX,Lachine,2:27.340,0:17.561
9,1,Bishan BILN,Fort,2:36.779,0:27.000
