Place,Ln/co,Crew / équipage,Club,Time/temps,Delta
1,5,"Jason BURKHOLDER, Carson COREY",Burloak,0:36.787,0:00.000
2,2,"Cormac ADAMS, Nehal DHILLON",Burloak,0:37.520,0:00.733
3,4,"Simon HUNT, James LAVALLÉE",Toba,0:37.637,0:00.850
4,6,"Vladimir DEMISHKEVICH, Cedric LIU",Pointe-Claire,0:37.748,0:00.961
5,3,"Nathan LEGER, Carter NAUGLER",Senobe,0:39.959,0:03.172
6,7,"Lakai MADSEN, Ashton ROCHEFORT",Saskatoon,0:40.487,0:03.700
7,1,"Gavin HAINES, Elliott THRUSH",Mic Mac,0:44.443,0:07.656
8,9,"Justin BUNKO, Willy LEE",Wascana,0:46.631,0:09.844
