3:25 PM - Race #272 - Final,col_1,col_2,col_3,col_4,col_5
Place,Ln/co,Crew / équipage,Club,Time/temps,Delta
1,5,"Spencer MCLEOD, Josh SARGANT",Mississauga,4:07.510,0:00.000
2,3,"Roenn HODGINS, Luka RIBERO",Carleton Place,4:15.260,0:07.750
3,1,"Theo JUNAID-MACNEILL, Nolen MITCHELL",Banook,4:16.282,0:08.772
4,7,"Konstantine ARMSTRONG, Najib BITAR",Maskwa,4:16.788,0:09.278
5,8,"David ACKERMAN, Wyatt DEEBLE",Mic Mac,4:18.793,0:11.283
6,2,"Maxim GORELOV, Logan GRIMSRUD",Rideau,4:20.160,0:12.650
7,6,"John GLOYN, Daniel KRAVCHUK",Mississauga,4:24.282,0:16.772
8,9,"Cédric BOURGEOIS, Edouard PELLERIN",Pointe-Claire,4:40.166,0:32.656
9,4,"Owen CHOU, Marlow NEWNHAM-BOYD",Flatwater North,4:56.988,0:49.478
