3:38 PM - Race #80 - Final,col_1,col_2,col_3,col_4,col_5
Place,Ln/co,Crew / équipage,Club,Time/temps,Delta
1,5,Lukas GOAS,False Creek,0:39.828,0:00.000
2,3,Victor GIRARD,Lac-Beauport,0:40.656,0:00.828
3,7,Jonathan PIGEON,Lac-Beauport,0:40.678,0:00.850
4,4,Alexander SHIROKOV,Mississauga,0:40.806,0:00.978
5,2,Mason LOWRY,Carleton Place,0:41.512,0:01.684
6,6,Ben WALKER,Maskwa,0:41.528,0:01.700
7,9,Max IVANOV,Richmond Hill,0:41.656,0:01.828
8,8,Reuben LOZADA,Mississauga,0:42.295,0:02.467
9,1,Patrick COMEAU,Pisiquid,0:42.712,0:02.884
