Place,Ln/co,Crew / équipage,Club,Time/temps,Delta
1,2,Lisa TUTTY,Mississauga,3:18.692,0:00.000
2,6,Heather SMITH,Burloak,3:29.226,0:10.534
3,7,Mari ELLERY,Balmy Beach,4:06.709,0:48.017
4,3,Michelle DONALDSON,Maskwa,8:42.976,5:24.284
DNF,4,Shannon ROBERT,Saskatoon,0:00.000,0:00.000
