4:56 PM - Race #95 - Final,col_1,col_2,col_3,col_4,col_5
Place,Ln/co,Crew / équipage,Club,Time/temps,Delta
1,5,Grace THEUNISSEN,Banook,4:50.494,0:00.000
2,6,Megan THOMPSON,Cheema,4:54.711,0:04.217
3,8,Alexandra SANGSTER,Maskwa,4:55.728,0:05.234
4,3,Emmerson EISENER,Cheema,4:59.383,0:08.889
5,7,Megan MCFETERS,Cheema,5:02.556,0:12.062
6,2,Roxie BODNAR,Fort,5:04.761,0:14.267
7,4,Kai CHOE,Calgary,5:04.772,0:14.278
8,1,Maya NOËL,Lac-Beauport,5:16.289,0:25.795
9,9,Julia BELLERBY,Mississauga,5:21.522,0:31.028
