10:42 AM - Race #241 - Heat 3 - Advancement/Progression: First 2 each heat and 3 next fastest to Final A,col_1,col_2,col_3,col_4,col_5
Place,Ln/co,Crew / équipage,Club,Time/temps,Delta
1,3,"Owen MACLEAN, Jonah QUESNEL",Balmy Beach,3:38.492,0:00.000
2,6,"Nicholas LAPIERRE, Leif MITCHELL",Banook,3:39.075,0:00.583
3,4,"Xavier HEBERT, Emrick LECLERC",Lac-Beauport,3:40.498,0:02.006
4,8,"Aiden KINNAIRD, Ashton TEIXEIRA",Burloak,3:43.025,0:04.533
5,7,"Benjamin GAUDET, Julien POMERLEAU",Lac-Beauport,3:43.548,0:05.056
6,5,"Gavin BURKE, George FARNSWORTH",Rideau,3:48.192,0:09.700
7,9,"Rémi LOISEL, Laurent ROULEAU",Lachine,3:49.020,0:10.528
8,1,"Cody BARBRICK, Johnathan HUBBARD",Cheema,3:59.636,0:21.144
9,2,"Elias GHARBI, Nolan TAGGART",Ottawa,4:07.998,0:29.506
