Place,Ln/co,Crew / équipage,Club,Time/temps,Delta
1,6,Trista FRIEDRICH,Saskatoon,2:22.194,0:00.000
2,4,Nancy OLMSTED,North Bay,2:30.177,0:07.983
3,7,Ellen FERGUSSON,Balmy Beach,2:36.294,0:14.100
4,5,Nadia DRAPEAU,Pointe-Claire,2:36.416,0:14.222
5,3,Lori VELISEK,False Creek,2:40.838,0:18.644
6,8,Kelly CODE,Rideau,2:45.144,0:22.950
7,9,Trina POOTS,Rideau,2:48.927,0:26.733
8,2,Jennefer LARSEN,Toba,2:49.449,0:27.255
9,1,Karen ROSE,Wascana,2:55.016,0:32.822
