2:21 PM - Race #205 - Final,col_1,col_2,col_3,col_4,col_5
Place,Ln/co,Crew / équipage,Club,Time/temps,Delta
1,5,"Anna ARCHIBALD, Olivia MURPHY",Banook,3:55.656,0:00.000
2,6,"Cassie KENNY, Maea KNIGHTS",Burloak,3:59.672,0:04.016
3,4,"Sarah LEGER, Erika WALSH",Senobe,4:02.484,0:06.828
4,3,"Marie CHAMBERLAND, Margaux LOYER",Lac-Beauport,4:08.906,0:13.250
5,7,"Sabrina TYRRELL, Emily ZHUANG",Burloak,4:10.267,0:14.611
6,8,"Kiara LEVASSEUR, Claire MCKIM",Cheema,4:12.372,0:16.716
7,2,"Natalie MCQUAY, Kendall SMITH",Mississauga,4:15.595,0:19.939
8,1,"Katie GAUDET, Norah LEGGE",Banook,4:16.822,0:21.166
9,9,"Nora HANSON, Daisy LARSEN",Toba,4:22.489,0:26.833
