8:48 AM - Race #12 - Heat 2 - Advancement/Progression: First 2 each heat and 3 next fastest to Final A,col_1,col_2,col_3,col_4,col_5
Place,Ln/co,Crew / équipage,Club,Time/temps,Delta
1,3,Elizabeth FANOK,Banook,0:46.130,0:00.000
2,4,Eve WILSON,Wascana,0:48.191,0:02.061
3,8,Charlie HAZEL,Maskwa,0:49.297,0:03.167
4,7,Amalia JORDAN,Calgary,0:49.780,0:03.650
5,5,Audrey DUNCAN,Balmy Beach,0:51.358,0:05.228
6,1,Noémie PERREAULT,Sherbrooke,0:53.130,0:07.000
7,6,Sarah-Maude BARRETTE,Pointe-Claire,0:53.652,0:07.522
8,9,Isabella NIKITOVIC,Wascana,0:54.169,0:08.039
9,2,Isabel CHRISTIE,Balmy Beach,0:54.986,0:08.856
