4,5,"Emma BURKHOLDER (Captain), Cormac ADAMS, Jad
BARRODI, Chloe BRYER, Jason BURKHOLDER, Shawn GE,
Dan HALAS, Cassie KENNY, Katherine KERWIN, Maea
KNIGHTS, Yikai LI, Eva LOOPER, Cole RAFUSE, Sabrina
TYRRELL, Emily ZHUANG",Burloak,2:00.101,0:04.761
5,7,"Adam BAIRD (Captain), Wesley BARTLETT, Madeleine
BEAUREGARD, Toshka BESHARAH, Emily BEST, Peter
BRADLEY, Nuala CLARK, Benjamin ELDER, Kurt
GRIMSRUD, Alexander HOFEREK, Ella HYLAND, Naomi
LANGENBAHN, Cole NORMAN, Amelia PACELLA, Adam
SCHLOSSER",Rideau,2:00.690,0:05.350
6,2,"Adam MAYO (Captain), Myles CASEY-TANNER, Anna
CHANDLER, Eric CHOUINARD, Ryan CHOUINARD, Payton
CLUETT, Gavin GARNETT, Gavin HAINES, Lily HOLLETT,
Clara JONCAS, Akaysia LOPPIE, Sophie MITCHELL, Chloe
PIKE, Elliott THRUSH, Trey WIERSTRA",Mic Mac,2:02.618,0:07.278
7,9,"Eric MIHALOVIC (Captain), Elliot ARNAUTOVITCH, Sarah-
Maude BARRETTE, Émile BOUVIER, Marcelo DE ANDRADE,
Vladimir DEMISHKEVICH, Mia FORYSTEK, Rowan HARDY-
KAVANAGH, Abigaelle LEGRAND, Ophelie LEGRAND,
Sophie MOÏSE DOS SANTOS, Justin NADEAU, Émile
PAQUETTE, Ilia PRIADKO, Kaiya Leah SCHADE",Pointe-Claire,2:11.051,0:15.711
8,6,"Jeremy STOTT (Captain), Bishan BILN, Julia BODNAR, Roxie
BODNAR, Ivan BROWN, Abby CHARLESWORTH, Greyson
FOLLETT, Eliza GROB, Terry IGARASHI, Adia IRVINE-
ROBERTS, Eva JANCKER, Jack KREEFTENBERG, Johan
KREEFTENBERG, Hayden MCCULLOCH, Veronica SO",Fort,2:14.790,0:19.450
DSQ,4,"Dominic TARASOFF (Captain), Abigail BROOK, Clara
BROTEN, Ingrid BROTEN, Madalyn BRUINS, Theodore
HOLMSTROM, Jarret KENKE, River KLOEBLE, Lakai
MADSEN, Pano MCCARTNEY, Shannon ROBERT, Ashton
ROCHEFORT, Kaelynn ROCHEFORT, Ayla TARASOFF,
Amanda WALKER",Saskatoon,0:00.000,0:00.000
