2:40 PM - Race #152 - Final,col_1,col_2,col_3,col_4,col_5
Place,Ln/co,Crew / équipage,Club,Time/temps,Delta
1,6,"Christos GIANNOU, Luke MACKENZIE, William TOWNSEND,
Ben WALKER",Maskwa,1:32.110,0:00.000
2,4,"Jacob CÔTÉ, Victor GIRARD, Alexandre MORIN, Jonathan
PIGEON",Lac-Beauport,1:32.749,0:00.639
3,5,"Alexander HOLIC, Max IVANOV, Rick NATH, Michael SUN",Richmond Hill,1:33.921,0:01.811
4,8,"Hudson BROWN, Joseph COLDWELL, Ryan GOMEZ, Evan
VATERS",Maskwa,1:34.005,0:01.895
5,9,"Alex DOYON, Émile DUBUC, Billy LIU, Edouard ROUSSEAU",Otterburn,1:36.677,0:04.567
6,2,"Ethan JOHNSON, Liam MACPHAIL, Owen PELTON, James
SWARBRIGG",Maskwa,1:36.744,0:04.634
7,7,"Guillermo GONZALEZ, Eden MURRAY MARKS, Alex
SHERIDAN, Joe WILEY",Balmy Beach,1:37.044,0:04.934
8,3,"Ronan BECK-EVOY, Charles COMEAU, Patrick COMEAU,
Matthew SEXTON",Pisiquid,1:37.783,0:05.673
9,1,"gabriel BEATON, Adam JARRETT, Dane MORRISSEY, Anakin
PYE",Banook,1:39.410,0:07.300
