4:02 PM - Race #88 - Final,col_1,col_2,col_3,col_4,col_5
Place,Ln/co,Crew / équipage,Club,Time/temps,Delta
1,6,Harris HUNTER,Kamloops,0:37.497,0:00.000
2,4,Michael CHABAN,Mississauga,0:37.658,0:00.161
3,5,Conrad HOOGERBOORD,Senobe,0:37.669,0:00.172
4,2,Riley TAYLOR,Rideau,0:38.197,0:00.700
5,1,Joshua ROWE,Calgary,0:38.608,0:01.111
6,8,Bogdan BARBA,Trois Rivieres,0:38.936,0:01.439
7,3,Harry BROWN,Cheema,0:39.058,0:01.561
8,9,Tate LEVY,Senobe,0:39.552,0:02.055
9,7,Ty COLLVER,Mississauga,0:40.341,0:02.844
