5:45 PM - Race #104 - Final,col_1,col_2,col_3,col_4,col_5
Place,Ln/co,Crew / équipage,Club,Time/temps,Delta
1,4,Owen MACLEAN,Balmy Beach,1:46.863,0:00.000
2,6,Tate LEVY,Senobe,1:47.729,0:00.866
3,5,Harris HUNTER,Kamloops,1:48.374,0:01.511
4,7,Conrad HOOGERBOORD,Senobe,1:48.885,0:02.022
5,3,Emrick LECLERC,Lac-Beauport,1:49.068,0:02.205
6,1,Dyllan REDWOOD-WHEELER,Carleton Place,1:49.163,0:02.300
7,2,Michael CHABAN,Mississauga,1:50.090,0:03.227
8,8,Jonah QUESNEL,Balmy Beach,1:50.479,0:03.616
9,9,Nicholas LAPIERRE,Banook,1:55.024,0:08.161
