9:46 AM - Race #27 - Heat 3 - Advancement/Progression: First 2 each heat and 3 next fastest to Final A,col_1,col_2,col_3,col_4,col_5
Place,Ln/co,Crew / équipage,Club,Time/temps,Delta
1,5,Kate OSBORNE,Rideau,0:46.841,0:00.000
2,4,Sabrina TYRRELL,Burloak,0:47.364,0:00.523
3,8,Maika ST-YVES,Trois Rivieres,0:47.375,0:00.534
4,3,Victoria LAVALLÉE-LATOUR,Sherbrooke,0:49.158,0:02.317
5,9,Sarah LEGER,Senobe,0:49.930,0:03.089
6,7,Natalie MCQUAY,Mississauga,0:52.297,0:05.456
7,6,Eva JANCKER,Fort,0:53.441,0:06.600
8,1,Audrey JACKSON,Balmy Beach,0:54.358,0:07.517
DSQ,2,Rhiannon BAMBRICK,Rideau,0:00.000,0:00.000
