5:35 PM - Race #102 - Final,col_1,col_2,col_3,col_4,col_5
Place,Ln/co,Crew / équipage,Club,Time/temps,Delta
1,5,Anna ARCHIBALD,Banook,2:00.104,0:00.000
2,6,Cassie KENNY,Burloak,2:03.838,0:03.734
3,3,Kate OSBORNE,Rideau,2:04.699,0:04.595
4,2,Marie CHAMBERLAND,Lac-Beauport,2:06.821,0:06.717
5,8,Maea KNIGHTS,Burloak,2:09.316,0:09.212
6,9,Lilliana SATO,Richmond Hill,2:10.104,0:10.000
7,1,Erika WALSH,Senobe,2:10.232,0:10.128
8,4,Emilee VATERS,Maskwa,2:10.954,0:10.850
9,7,Gaelle BOUSQUET,Maskwa,2:13.371,0:13.267
