3:09 PM - Race #157 - Final,col_1,col_2,col_3,col_4,col_5
Place,Ln/co,Crew / équipage,Club,Time/temps,Delta
1,5,Florence HAMEL,Lachine,4:16.323,0:00.000
2,7,Mathilde PATRY,Trois Rivieres,4:17.490,0:01.167
3,3,Brianna SMITH,Maskwa,4:20.390,0:04.067
4,4,Julia DEMCHUK,Calgary,4:21.912,0:05.589
5,2,Emily BEST,Rideau,4:25.584,0:09.261
6,8,Jonnie NEWMAN,Calgary,4:26.918,0:10.595
7,1,Chantal IP,Toba,4:31.840,0:15.517
8,9,Anna-Marya IZMAYLOV,Sherbrooke,4:38.057,0:21.734
DNF,6,Kristiane FREE,Calgary,0:00.000,0:00.000
