Place,Ln/co,Crew / équipage,Club,Time/temps,Delta
1,5,Richard SULLIVAN,Mic Mac,1:56.320,0:00.000
2,3,Elliot HOYT,Fort,2:00.670,0:04.350
3,6,Ben MUENCH,Fort,2:03.548,0:07.228
4,4,Willy LEE,Wascana,2:04.809,0:08.489
5,8,Trevor MACLEAN,Senobe,2:06.587,0:10.267
6,7,Dan HALAS,Burloak,2:09.426,0:13.106
7,1,Jimmy WALKER,Saskatoon,2:09.792,0:13.472
8,2,Peter HODGSON,Collingwood,2:11.237,0:14.917
9,9,Lindsy RICHARDSON,Rideau,2:13.059,0:16.739
