5:11 PM - Race #164 - Final,col_1,col_2,col_3,col_4,col_5
Place,Ln/co,Crew / équipage,Club,Time/temps,Delta
1,2,Nolen MITCHELL,Banook,29:53.722,0:00.000
2,7,Josh SARGANT,Mississauga,30:38.761,0:45.039
3,5,Spencer MCLEOD,Mississauga,31:21.066,1:27.344
4,1,Pano MCCARTNEY,Saskatoon,32:05.027,2:11.305
5,12,Maxim GORELOV,Rideau,32:27.650,2:33.928
6,6,Najib BITAR,Maskwa,32:52.794,2:59.072
7,10,Logan GRIMSRUD,Rideau,32:56.166,3:02.444
8,15,Wyatt DEEBLE,Mic Mac,33:13.422,3:19.700
9,18,David ACKERMAN,Mic Mac,33:37.805,3:44.083
10,8,Owen MILLER,Wascana,34:07.977,4:14.255
11,16,Cole RAFUSE,Burloak,34:14.805,4:21.083
12,3,Cédric BOURGEOIS,Pointe-Claire,34:45.461,4:51.739
13,22,Luka RIBERO,Carleton Place,34:54.844,5:01.122
14,23,Owen CHOU,Flatwater North,34:58.477,5:04.755
15,11,Magnus PATTERSON,Wascana,35:09.994,5:16.272
16,21,Ryerson EISENER,Cheema,36:04.777,6:11.055
17,9,Louis-Étienne MESSIER,Lac-Beauport,36:17.855,6:24.133
18,14,John GLOYN,Mississauga,36:54.433,7:00.711
19,13,Edouard PELLERIN,Pointe-Claire,37:09.416,7:15.694
20,26,Gabriel COLLINS,Mic Mac,37:19.455,7:25.733
21,24,Theo JUNAID-MACNEILL,Banook,38:18.972,8:25.250
22,19,Connor BUNKO,Wascana,38:26.455,8:32.733
