4:03 PM - Race #214 - Heat 2 - Advancement/Progression: First 2 each heat and 3 next fastest to Final A,col_1,col_2,col_3,col_4,col_5
Place,Ln/co,Crew / équipage,Club,Time/temps,Delta
1,5,"Sabrina TYRRELL, Emily ZHUANG",Burloak,0:43.599,0:00.000
2,6,"Marie CHAMBERLAND, Margaux LOYER",Lac-Beauport,0:43.693,0:00.094
3,3,"Maura MACUMBER, Jenna WILE",Maskwa,0:44.387,0:00.788
4,1,"Daphnée CHAMPAGNE, Charlie LECLERC",Sherbrooke,0:46.487,0:02.888
5,8,"Payton CLUETT, Akaysia LOPPIE",Mic Mac,0:46.887,0:03.288
6,2,"Camille HEURZEAU, Natalie MCQUAY",Mississauga,0:47.476,0:03.877
7,4,"Abigail BROOK, Madalyn BRUINS",Saskatoon,0:49.049,0:05.450
8,7,"Scarlett LARSEN, Faith SIDLOSKI",Toba,0:57.254,0:13.655
