2:20 PM - Race #62 - Heat 1 - Advancement/Progression: First 2 each heat and 3 next fastest to Final A,col_1,col_2,col_3,col_4,col_5
Place,Ln/co,Crew / équipage,Club,Time/temps,Delta
1,5,Anna ARCHIBALD,Banook,2:06.803,0:00.000
2,4,Kate OSBORNE,Rideau,2:08.386,0:01.583
3,2,Erika WALSH,Senobe,2:09.242,0:02.439
4,9,Emily ZHUANG,Burloak,2:12.186,0:05.383
5,3,Anais LAPOINTE,Trois Rivieres,2:12.753,0:05.950
6,8,Victoria LAVALLÉE-LATOUR,Sherbrooke,2:14.986,0:08.183
7,7,Megan STRACHAN,Rideau,2:17.681,0:10.878
8,6,Nora HANSON,Toba,2:18.203,0:11.400
9,1,Scarlett LARSEN,Toba,2:27.581,0:20.778
