1:15 PM - Race #200 - Final,col_1,col_2,col_3,col_4,col_5
Place,Ln/co,Crew / équipage,Club,Time/temps,Delta
1,5,"Alexander SMITH, Jeffrey SUN",Fort,1:51.942,0:00.000
2,4,"Nikita CIUDIN, Lennart KANE",Calgary,1:53.276,0:01.334
3,6,"Peter BRADLEY, Cole NORMAN",Rideau,1:53.470,0:01.528
4,7,"Jack CHAMBERS, Konrad MORAWSKI",Mississauga,1:59.520,0:07.578
5,8,"Landon MCQUARRIE, Zachary SMITH",Fort,2:07.520,0:15.578
6,2,"Pano MCCARTNEY, Dominic TARASOFF",Saskatoon,2:08.381,0:16.439
7,3,"Iain CAREW, Owen WHITE",Senobe,2:09.814,0:17.872
8,1,"Justin NADEAU, Diego PADRON-CORBEIL",Pointe-Claire,2:21.892,0:29.950
