3:59 PM - Race #87 - Final,col_1,col_2,col_3,col_4,col_5
Place,Ln/co,Crew / équipage,Club,Time/temps,Delta
1,5,Amelie LALIBERTE,Otterburn,0:48.516,0:00.000
2,6,Abbigail HAINES,Carleton Place,0:49.233,0:00.717
3,8,Victoria TRAN,Maskwa,0:49.588,0:01.072
4,3,Madeleine BEAUREGARD,Rideau,0:49.761,0:01.245
5,1,Elle MACKENZIE,Cheema,0:51.099,0:02.583
6,4,Claire MOLLARD,Mississauga,0:51.433,0:02.917
7,7,Ella COZENS,Cheema,0:51.894,0:03.378
8,9,Leia STEPHENSON,Lac-Beauport,0:53.449,0:04.933
9,2,Emma MARSHALL,Balmy Beach,0:53.561,0:05.045
