2:57 PM - Race #155 - Final,col_1,col_2,col_3,col_4,col_5
Place,Ln/co,Crew / équipage,Club,Time/temps,Delta
1,5,Owen MACLEAN,Balmy Beach,3:39.098,0:00.000
2,3,Tate LEVY,Senobe,3:40.254,0:01.156
3,6,Damian HICKEY,Kamloops,3:42.937,0:03.839
4,4,Leif MITCHELL,Banook,3:44.465,0:05.367
5,9,Aiden KINNAIRD,Burloak,3:44.576,0:05.478
6,8,Conrad HOOGERBOORD,Senobe,3:45.931,0:06.833
7,2,Jonah QUESNEL,Balmy Beach,3:46.754,0:07.656
8,7,Harris HUNTER,Kamloops,3:46.759,0:07.661
9,1,Harry BROWN,Cheema,3:49.176,0:10.078
