11:20 AM - Race #191 - Heat 1 - Advancement/Progression: First 3 each heat and 3 next fastest to Final A,col_1,col_2,col_3,col_4,col_5
Place,Ln/co,Crew / équipage,Club,Time/temps,Delta
1,4,"Brianna SMITH, Emilee VATERS",Maskwa,2:03.744,0:00.000
2,5,"Anais LAPOINTE, Mathilde PATRY",Trois Rivieres,2:05.433,0:01.689
3,6,"Jonnie NEWMAN, Lauren RENTZ",Calgary,2:08.872,0:05.128
4,2,"Nienke ALBRICHT, Meera KALAR",Calgary,2:11.155,0:07.411
5,7,"Rhiannon BAMBRICK, Maria TIERRAFRIA",Rideau,2:17.305,0:13.561
6,8,"Violet DADDARIO, Elsie DURING",Senobe,2:34.455,0:30.711
7,9,"Maaike GOODERHAM, Jordan SCOTT",Carleton Place,3:00.594,0:56.850
DNF,3,"Abigaelle LEGRAND, Kaiya Leah SCHADE",Pointe-Claire,0:00.000,0:00.000
