10:18 AM - Race #237 - Heat 2 - Advancement/Progression: First 2 each heat and 3 next fastest to Final A,col_1,col_2,col_3,col_4,col_5
Place,Ln/co,Crew / équipage,Club,Time/temps,Delta
1,5,"Matilda LAWSON-LONG, Kahlen TSZE",False Creek,4:16.266,0:00.000
2,6,"Matilda BOWERS, Claire MCKIM",Cheema,4:16.316,0:00.050
3,4,"Maïté LÉGER, Justine TREMBLAY",Lac-Beauport,4:17.944,0:01.678
4,1,"Charlie HAZEL, Cambden PRATT",Maskwa,4:24.828,0:08.562
5,9,"Juniper CODE, Alison NGUYEN",Rideau,4:30.400,0:14.134
6,7,"Charlie LECLERC, Noémie PERREAULT",Sherbrooke,4:36.339,0:20.073
7,2,"Elena PELEKH, Willow VAN AKKER",Burnaby,4:36.916,0:20.650
8,3,"Hayley BOSOVICH, Axeleena ROBERTSON",Wascana,4:40.533,0:24.267
9,8,"Abby NDEGWA, Elsie PIPPARD",Calgary,5:05.311,0:49.045
