Hommes C-1 1000m,col_1,col_2,col_3
14:00 Course n° 23 Samedi 24 mai Finale,,,
Couloir,Club rang Équipage,Résultats,Temps
5,Pointe-Claire 1 Elliot Arnautovitch,1,"4:28,44"
2,Otterburn 6 Antoine Gamache,2,"4:42,51"
4,Otterburn 2 Étienne Gamache,3,"4:43,83"
6,Otterburn 7 Noa Piché,4,"4:51,13"
8,Otterburn 3 Philippe Richer-Simard,5,"4:51,56"
3,Otterburn 5 Ludovik Rioux,6,"4:53,71"
1,Lachine 9 Adam Marcoux,7,"4:55,26"
7,Lachine 4 Noam Brault,8,"5:08,72"
9,Lac-Beauport 8 Christophe Desrochers,9,"5:09,29"
Femmes C-1 1000m,,,
14:10 Course n° 24 Samedi 24 mai Finale,,,
Couloir,Club rang Équipage,Résultats,Temps
5,Lac-Beauport 1 Elizabeth Desrosiers-Mcarthur,1,"5:04,67"
3,Lac-Beauport 4 Charlotte Désy,2,"5:10,76"
2,Lac-Beauport 6 Léia Stephenson,3,"5:11,96"
6,Lac-Beauport 3 Alexia Gagnon,4,"5:12,03"
4,Otterburn 2 Amélie Laliberté,5,"5:15,11"
7,Otterburn 5 Léanne Castonguay,6,"5:17,62"
8,Lac-Beauport 7 Maya Noël,7,"5:21,19"
1,Trois-Rivières 8 Flavie Martin,8,"5:24,07"
9,Cascade 9 Florence Gauthier,9,"5:52,98"
Femmes K-1 1000m,,,
14:20 Course n° 25 Samedi 24 mai Finale,,,
Couloir,Club rang Équipage,Résultats,Temps
4,Lachine 2 Florence Hamel,1,"4:24,12"
6,Lac-Beauport 3 Marie Chamberland,2,"4:26,02"
7,Trois-Rivières 5 Mathilde Patry,3,"4:26,31"
3,Lachine 4 Calina Bidal,4,"4:26,59"
1,Lachine 8 Ariane Loisel,5,"4:28,06"
2,Trois-Rivières 6 Anaïs Lapointe,6,"4:29,73"
5,Lachine 1 Alina Tverie,7,"4:30,51"
9,Sherbrooke 9 Victoria Lavallée-Latour,8,"4:47,43"
8,Lachine 7 Béatrice charbonneau-Morin,9,"5:10,67"
Hommes K-1 1000m,,,
14:30 Course n° 26 Samedi 24 mai Finale,,,
Couloir,Club rang Équipage,Résultats,Temps
5,Lac-Beauport 1 Raphaël Côté,1,"3:50,24"
6,Lac-Beauport 3 Thoma Sinotte,2,"3:50,94"
4,Pointe-Claire 2 Cedric Liu,3,"3:54,98"
8,Cascade 7 Leo Carmichael,4,"3:56,20"
2,Pointe-Claire 6 Émile Paquette,5,"3:56,30"
3,Trois-Rivières 4 Jérémy Pelletier,6,"3:57,97"
9,Lac-Beauport 9 Louis Enzo Roy,7,"4:00,41"
1,Trois-Rivières 8 Benjamin Pelletier,8,"4:18,84"
7,Lac-Beauport 5 Hemrick Leclerq,DSQ,
