3:05 PM - Race #213 - Final,col_1,col_2,col_3,col_4,col_5
Place,Ln/co,Crew / équipage,Club,Time/temps,Delta
1,4,Cameron HALL,Cheema,27:32.093,0:00.000
2,5,Justin BOYKO,Calgary,27:54.638,0:22.545
3,8,Matthew MACDONALD,Sack-a-Wa,28:00.416,0:28.323
4,19,Nolen MITCHELL,Banook,28:17.710,0:45.617
5,15,William WINTONIW,Toba,28:39.232,1:07.139
6,1,Adam SCHLOSSER,Rideau,29:13.566,1:41.473
7,12,Aleksander SEREMAK,Toba,29:27.993,1:55.900
8,7,Roenn HODGINS,Carleton Place,29:34.916,2:02.823
9,2,Nate NEULS,Kamloops,29:51.610,2:19.517
10,10,Wyatt DEEBLE,Mic Mac,30:07.632,2:35.539
11,20,David ACKERMAN,Mic Mac,30:07.704,2:35.611
12,3,Hunter MACK,Balmy Beach,30:35.238,3:03.145
13,17,Adam MARCOUX,Lachine,30:57.793,3:25.700
14,14,Diego PADRON-CORBEIL,Pointe-Claire,31:10.127,3:38.034
15,13,Cohen CLUETT,Mic Mac,32:19.149,4:47.056
16,18,Gabriel COLLINS,Mic Mac,33:12.588,5:40.495
DSQ,11,Logan GRIMSRUD,Rideau,0:00.000,0:00.000
