Place,Ln/co,Crew / équipage,Club,Time/temps,Delta
1,4,Carson COREY,Burloak,1:49.705,0:00.000
2,5,Nathan KONÉ,Trois Rivieres,1:50.125,0:00.420
3,1,Raphaël CÔTÉ,Lac-Beauport,1:51.608,0:01.903
4,7,Nathan DAOUST,Pointe-Claire,1:51.700,0:01.995
5,6,Lucas STEIN,Balmy Beach,1:53.182,0:03.477
6,2,Thomas SINOTTE,Lachine,1:53.217,0:03.512
7,8,Cedric LIU,Pointe-Claire,1:54.591,0:04.886
8,3,Jason BURKHOLDER,Burloak,1:56.171,0:06.466
