Place,Ln/co,Crew / équipage,Club,Time/temps,Delta
1,5,Connor FITZPATRICK,Senobe,1:58.929,0:00.000
2,4,Andrew BILLARD,Maskwa,2:00.038,0:01.109
3,7,Viktor HARDY,Lac-Beauport,2:01.889,0:02.960
4,2,Bret HIMMELMAN,Maskwa,2:08.406,0:09.477
5,3,Eric CHOUINARD,Mic Mac,2:09.722,0:10.793
6,6,Elliot ARNAUTOVITCH,Pointe-Claire,2:10.021,0:11.092
7,8,Alexander MACNEIL,Maskwa,2:10.050,0:11.121
8,1,Cole NORMAN,Rideau,2:16.389,0:17.460
