Place,Ln/co,Crew / équipage,Club,Time/temps,Delta
1,6,Julia DEMCHUK,Calgary,2:10.738,0:00.000
2,5,Callie LOCH,Rideau,2:12.083,0:01.345
3,8,Marie CHAMBERLAND,Lac-Beauport,2:12.899,0:02.161
4,4,Emilee VATERS,Maskwa,2:14.525,0:03.787
5,7,Mathilde PATRY,Trois Rivieres,2:16.324,0:05.586
6,3,Emily BEST,Rideau,2:16.428,0:05.690
7,9,Allie WANG,Lachine,2:16.893,0:06.155
8,2,Calina BIDAL,Lachine,2:18.445,0:07.707
