13:46 Course n° 94 Open hommes C-1 1000m finale 1,col_1,col_2,col_3
Couloir,Club Équipage,Résultats,Temps
5,Pointe-Claire 2004 Emile Bouvier,1,"3:58,83"
4,Lac-Beauport 2000 Edouard Beaumier,2,"4:10,24"
6,Pointe-Claire 2004 Elliot Arnautovitch,3,"4:13,70"
2,Otterburn 2005 Etienne Gamache,4,"4:15,66"
8,Otterburn 2008 Noa Piche,5,"4:19,56"
1,Otterburn 2007 Antoine Gamache,6,"4:21,37"
3,Lac-Beauport 2008 Christophe Desrochers,7,"4:28,53"
7,Otterburn 2006 Ludovik Rioux,8,"4:30,28"
9,Lachine 2008 Adam Marcoux,9,"4:31,95"
Open hommes K-1 1000m,,,
13:54 Course n° 95 Open hommes K-1 1000m finale 6,,,
Couloir,Club Équipage,Résultats,Temps
1,annulée,,
2,,,
3,,,
4,,,
5,,,
6,,,
7,,,
8,,,
9,,,
14:02 Course n° 96 Open hommes K-1 1000m finale 5,,,
Couloir,Club Équipage,Résultats,Temps
5,Shawinigan 2010 Yanik Gravel,1,"4:25,29"
4,Otterburn 2010 Billy Liu,2,"4:29,52"
6,Cascades 2009 Lukas Manning,3,"4:29,84"
3,Lachine 2010 Zacharia Mansour,4,"4:30,12"
2,Pointe-Claire 2009 Ilia Priadko,5,"4:48,03"
8,Sherbrooke 2010 Eloic Theberge,6,"4:51,26"
7,Pointe-Claire 2010 Benjamin Dube,7,"4:53,20"
9,Cascades 2008 Emile Gauthier,8,"4:56,81"
1,Cascades 2010 Julian Slavin,9,"5:00,61"
10,Lac-Sergent 2010 Zachary Verret,10,"5:00,97"
14:10 Course n° 97 Open hommes K-1 1000m finale 4,,,
Couloir,Club Équipage,Résultats,Temps
9,Trois-Rivières 2009 Andrew Emond,1,"4:00,18"
5,Trois-Rivières 2008 Benjamin Pelletier,2,"4:07,43"
6,Lachine 2008 Laurean Galatan,3,"4:08,64"
4,Lac-Beauport 2007 Zachary Tremblay,4,"4:08,78"
7,Sherbrooke 2008 Sebastian Sarateanu,5,"4:11,06"
2,Otterburn 2009 Edouard Rousseau,6,"4:13,54"
3,Lac-Beauport 2009 Jacob Cote,7,"4:13,69"
1,Lac-Beauport 2008 Tristan Dennie-Vaudreuil,8,"4:14,62"
8,Otterburn 2009 Alex Doyon,9,"4:16,54"
