Open femmes K-1 200m,col_1,col_2,col_3
15:50 Course n° 110 Open femmes K-1 200m finale 5,,,
Couloir,Club Équipage,Résultats,Temps
4,Otterburn 2010 Gaelle Doucet,1,"53,15"
5,Lac-Sergent 2010 Marilou Lessard,2,"54,27"
6,Pointe-Claire 2008 Sophia Moise Dos Santos,3,"54,59"
7,Pointe-Claire 2006 Kaiya Leah Schade,4,"55,93"
3,Lac-Beauport 2008 Marie-Odile Levesque,5,"59,31"
1,,,
2,,,
8,,,
9,,,
15:55 Course n° 111 Open femmes K-1 200m finale 4,,,
Couloir,Club Équipage,Résultats,Temps
4,Pointe-Claire 2008 Abigaelle Legrand,1,"49,74"
6,Lac-Beauport 2010 Maude Vittoz,2,"51,74"
3,Sherbrooke 2008 Payton Winsor,3,"52,03"
5,Sherbrooke 2008 Marguerite Gareau,4,"52,04"
7,Lac-Beauport 2010 Clarence Dennie-Vaudreuil,4,"52,04"
8,Cartierville 2008 Laura Desjardins,6,"52,15"
2,Lac-Sergent 2010 Melyna Cassista,7,"52,76"
1,Lac-Beauport 2010 Lily Jobin,8,"52,78"
9,Otterburn 2010 Maelie Boulay,9,"53,16"
16:00 Course n° 112 Open femmes K-1 200m finale 3,,,
Couloir,Club Équipage,Résultats,Temps
5,Lac-Beauport 2008 Margaux Loyer,1,"48,10"
7,Pointe-Claire 2009 Sarah-Maude Barrette,2,"49,64"
6,Sherbrooke 2009 Charlie Leclerc,3,"49,91"
3,Sherbrooke 2009 Noemie Perreault,4,"50,01"
4,Lac-Sergent 2009 Eloise Hebert,5,"50,15"
2,Lac-Beauport 2010 Maite Leger,6,"50,22"
8,Cartierville 2009 Noemie Brunette,7,"50,51"
1,Trois-Rivières 2010 Camille Pelletier,8,"50,95"
9,Lac-Sergent 2008 Melodie Verret,9,"50,97"
16:05 Course n° 113 Open femmes K-1 200m finale 2,,,
Couloir,Club Équipage,Résultats,Temps
5,Trois-Rivières 2007 Maika St-Yves,1,"45,69"
6,Sherbrooke 2006 Anna-Mariya Izmaylova,2,"47,01"
3,Otterburn 1992 Claudine Courteau-Godmaire,3,"47,70"
8,Sherbrooke 2007 Megan Champagne,4,"47,88"
4,Sherbrooke 2008 Daphnee Champagne,5,"48,15"
2,Lac-Beauport 2007 Anne-Sophie Boucher,6,"48,34"
1,Cascades 2008 Mia Zahab,7,"49,02"
7,Otterburn 2008 Clara Meuleau,8,"49,62"
9,Lachine 2006 Clara Blanchette,9,"50,25"
16:10 Course n° 114 Open femmes K-1 200m finale 1,,,
Couloir,Club Équipage,Résultats,Temps
6,Lachine 2004 Calina Bidal,1,"42,78"
5,Lachine 2006 Florence Hamel,2,"42,81"
4,Lachine 2002 Allie Wang,3,"42,83"
7,Lachine 2004 Ariane Loisel,4,"45,38"
8,Trois-Rivières 2006 Mathilde Patry,4,"45,38"
2,Sherbrooke 2008 Victoria Lavallee Latour,6,"45,61"
3,Trois-Rivières 2008 Anais Lapointe,7,"46,14"
1,Lac-Beauport 2010 Justine Tremblay,8,"46,23"
9,Lachine 2004 Beatrice Charbonneau-Morin,9,"47,57"
