8:32 Course n° 56 Open hommes K-1 1000m Éliminatoire 2,col_1,col_2,col_3
Couloir,Club Équipage,Résultats,Temps
5,Lac-Beauport 2003 Nathan Daoust,1,"3:49,13"
6,Lac-Beauport 2007 Emrick Leclerc,2,"3:56,89"
4,Trois-Rivières 2006 Felix Albert,3,"3:59,97"
3,Lachine 2008 Remi Loisel,4,"4:01,23"
7,Trois-Rivières 2008 Bogdan Barba,5,"4:08,89"
2,Lachine 2008 Laurean Galatan,6,"4:11,41"
8,Pointe-Claire 2009 Ilia Priadko,7,"5:01,75"
1,,,
9,,,
8:40 Course n° 57 Open hommes K-1 1000m Éliminatoire 3,,,
Couloir,Club Équipage,Résultats,Temps
5,Lac-Beauport 2004 Raphael Cote,1,"3:56,45"
6,Lac-Beauport 2007 Louis Enzo Roy,2,"3:56,95"
4,Otterburn 2006 Arthur Moreau,3,"3:58,00"
3,Lac-Beauport 2007 Benjamin Gaudet,4,"4:02,22"
7,Trois-Rivières 2008 Benjamin Pelletier,5,"4:04,50"
8,Lac-Beauport 2009 Jacob Cote,6,"4:20,05"
2,Cascades 2008 Emile Gauthier,7,"5:04,74"
1,Lac-Sergent 2010 Zachary Verret,8,"5:16,75"
9,,,
8:48 Course n° 58 Open hommes K-1 1000m Éliminatoire 4,,,
Couloir,Club Équipage,Résultats,Temps
4,Lac-Beauport 2001 Jerome Desrosiers-Mc Arthur,1,"3:50,93"
5,Trois-Rivières 2005 Jeremy Pelletier,2,"3:53,75"
6,Lac-Beauport 2007 Xavier Hebert,3,"3:55,57"
3,Lac-Beauport 2008 Leo Roy,4,"3:58,94"
7,Pointe-Claire 2008 Marcelo De Andrade,5,"4:07,54"
2,Shawinigan 2010 Yanik Gravel,6,"4:23,33"
1,Lachine 2010 Zacharia Mansour,7,"4:30,51"
8,Cascades 2009 Lukas Manning,8,"4:32,13"
9,,,
8:56 Course n° 59 Open hommes K-1 1000m Éliminatoire 5,,,
Couloir,Club Équipage,Résultats,Temps
4,Pointe-Claire 2006 Emile Paquette,1,"3:56,01"
5,Pointe-Claire 2004 Vladimir Demishkevich,2,"3:57,04"
6,Lachine 2008 Laurent Rouleau,3,"3:57,15"
3,Otterburn 2007 Jacob Levesque,4,"3:57,77"
2,Lachine 2007 Zakari Sauve,5,"4:02,49"
7,Lac-Beauport 2007 Zachary Tremblay,6,"4:03,89"
8,Pointe-Claire 2010 Benjamin Dube,7,"4:55,41"
1,Cascades 2010 Julian Slavin,8,"5:02,21"
9,,,
9:04 Course n° 60 Open hommes K-1 1000m Éliminatoire 6,,,
Couloir,Club Équipage,Résultats,Temps
5,Pointe-Claire 2005 Cedric Liu,1,"3:55,93"
3,Lac-Beauport 2007 Julien Pomerleau,2,"3:56,21"
4,Cascades 2006 Leo Carmichael,3,"3:59,15"
6,Lac-Beauport 2009 Victor Girard,4,"4:01,23"
7,Sherbrooke 2008 Sebastian Sarateanu,5,"4:13,78"
2,Otterburn 2009 Alex Doyon,6,"4:22,04"
8,Otterburn 2010 Billy Liu,7,"4:31,33"
1,Sherbrooke 2010 Eloic Theberge,8,"4:57,18"
9,,,
