9:30 AM - Race #200 - Final,col_1,col_2,col_3,col_4,col_5
Place,Ln/co,Crew / équipage,Club,Time/temps,Delta
1,4,"Maea KNIGHTS, Kate OSBORNE",Rideau,1:51.647,0:00.000
2,5,"Anna ARCHIBALD, Norah LEGGE",Banook,1:53.697,0:02.050
3,6,"Gaelle BOUSQUET, Emilee VATERS",Maskwa,1:56.547,0:04.900
4,3,"Elizabeth FANOK, Cassie KENNY",Burloak,1:56.674,0:05.027
5,7,"Marie CHAMBERLAND, Anais LAPOINTE",Trois Rivieres,1:58.302,0:06.655
6,1,"Matilda BOWERS, Sofia MARTELI",Maskwa,1:58.697,0:07.050
7,9,"Abbie BEGBIE, Zoe HATFIELD",Ottawa,2:03.991,0:12.344
8,8,"Rachel JOU, Lilliana SATO",Richmond Hill,2:06.730,0:15.083
9,2,"Lyla BOYCHUK, Katie GAUDET",Cheema,2:09.041,0:17.394
