1:06 PM - Race #43 - Semi 2 - Advancement/Progression:,col_1,col_2,col_3,col_4,col_5
Place,Ln/co,Crew / équipage,Club,Time/temps,Delta
1,5,Jason BURKHOLDER,Burloak,3:44.080,0:00.000
2,8,Nicholas MATVEEV,Balmy Beach,3:44.523,0:00.443
3,6,Nathan DAOUST,Lac-Beauport,3:44.569,0:00.489
4,4,Alex CANNING,Banook,3:46.132,0:02.052
5,3,Cormac ADAMS,Burloak,3:46.488,0:02.408
6,9,Nehal DHILLON,Burloak,3:46.822,0:02.742
7,7,Nathan KONÉ,Trois Rivieres,3:57.046,0:12.966
8,2,Leo CARMICHAEL,Cascades,3:57.517,0:13.437
9,1,Arthur MOREAU,Otterburn,4:02.741,0:18.661
