12:48 PM - Race #40 - Semi 2 - Advancement/Progression: 1/3 to Final A; 4/6 to Final B; 7/9 to Final C; Rest Out,col_1,col_2,col_3,col_4,col_5
Place,Ln/co,Crew / équipage,Club,Time/temps,Delta
1,5,Alec MACAULAY,Cheema,4:16.477,0:00.000
2,4,Wesley BARTLETT,Rideau,4:17.649,0:01.172
3,7,Emmett PATTERSON,Wascana,4:20.339,0:03.862
4,6,Cameron HALL,Cheema,4:22.367,0:05.890
5,8,Matthew MACDONALD,Sack-a-Wa,4:23.982,0:07.505
6,2,Aleksander SEREMAK,Toba,4:27.729,0:11.252
7,3,Sean GLYNN,Burloak,4:28.103,0:11.626
8,1,Noa PICHÉ,Otterburn,4:37.333,0:20.856
9,9,Adam MARCOUX,Lachine,4:54.235,0:37.758
