4:31 PM - Race #74 - C-Final,col_1,col_2,col_3,col_4,col_5
Place,Ln/co,Crew / équipage,Club,Time/temps,Delta
1,6,Marcy MEISNER,Cheema,0:51.532,0:00.000
2,2,Leia STEPHENSON,Lac-Beauport,0:52.607,0:01.075
3,5,Maya NOËL,Lac-Beauport,0:52.659,0:01.127
4,3,Kiira SAARENOJA,Calgary,0:53.067,0:01.535
5,4,Maëlle GIRARD,Lac-Beauport,0:54.055,0:02.523
6,8,Emma-Rose NADEAU,Lac-Beauport,0:55.004,0:03.472
7,9,Abigail HARRINGTON,Lac-Beauport,0:55.302,0:03.770
8,1,Flavie MARTIN,Trois Rivieres,0:56.676,0:05.144
DNS,7,Winter DENT,Maskwa,0:00.000,0:00.000
