2:55 PM - Race #59 - B-Final,col_1,col_2,col_3,col_4,col_5
Place,Ln/co,Crew / équipage,Club,Time/temps,Delta
1,8,Édouard BEAUMIER,Lac-Beauport,4:05.177,0:00.000
2,5,Elliot ARNAUTOVITCH,Pointe-Claire,4:05.562,0:00.385
3,7,Alexander MACNEIL,Maskwa,4:05.597,0:00.420
4,6,Eric CHOUINARD,Mic Mac,4:06.183,0:01.006
5,3,Isaac FINKELSTEIN,Rideau,4:08.436,0:03.259
6,4,Nicholas SHIROKOV,Mississauga,4:12.068,0:06.891
7,2,Konrad MORAWSKI,Mississauga,4:13.212,0:08.035
8,1,Cole NORMAN,Rideau,4:13.235,0:08.058
9,9,Edgar C DÉSY,Lac-Beauport,4:17.643,0:12.466
