3:13 PM - Race #62 - C-Final,col_1,col_2,col_3,col_4,col_5
Place,Ln/co,Crew / équipage,Club,Time/temps,Delta
1,5,Nate NEULS,Kamloops,4:17.404,0:00.000
2,6,Antoine GAMACHE,Otterburn,4:19.024,0:01.620
3,7,Noa PICHÉ,Otterburn,4:21.018,0:03.614
4,4,Sean GLYNN,Burloak,4:23.559,0:06.155
5,9,Konstantine ARMSTRONG,Maskwa,4:25.823,0:08.419
6,3,Hunter MACK,Balmy Beach,4:26.978,0:09.574
7,1,Adam MARCOUX,Lachine,4:28.955,0:11.551
8,2,Zachary SMITH,Fort,4:30.909,0:13.505
9,8,Maxim GORELOV,Rideau,4:43.335,0:25.931
