9:00 AM - Race #11 - Heat 3 - Advancement/Progression: 1/2 + next 3 BT to Final; 3/5 + next 3 BT to B Final,col_1,col_2,col_3,col_4,col_5
Place,Ln/co,Crew / équipage,Club,Time/temps,Delta
1,4,Alex ERITH-ELLWOOD,Senobe,3:51.908,0:00.000
2,5,Cameron LOW,Balmy Beach,3:53.143,0:01.235
3,8,Cormac ADAMS,Burloak,3:55.051,0:03.143
4,3,Nathan KONÉ,Trois Rivieres,3:55.247,0:03.339
5,6,Lucas STEIN,Balmy Beach,3:56.971,0:05.063
6,7,Alexander HOFEREK,Rideau,4:13.896,0:21.988
7,2,Benjamin ELDER,Rideau,4:20.201,0:28.293
DNS,1,Thomas LESSARD,Trois Rivieres,0:00.000,0:00.000
