8:06 AM - Race #2 - Heat 2 - Advancement/Progression: 1/3 + next 3 BT to Final; Rest Out,col_1,col_2,col_3,col_4,col_5
Place,Ln/co,Crew / équipage,Club,Time/temps,Delta
1,5,Alix PLOMTEUX,Lac-Beauport,4:11.450,0:00.000
2,4,Émile BOUVIER,Pointe-Claire,4:13.231,0:01.781
3,6,Peter BRADLEY,Rideau,4:19.501,0:08.051
4,3,Eric CHOUINARD,Mic Mac,4:23.921,0:12.471
5,2,Isaac FINKELSTEIN,Rideau,4:24.875,0:13.425
6,7,Édouard BEAUMIER,Lac-Beauport,4:25.570,0:14.120
7,9,Lucas WILLIAMS,Mississauga,4:26.720,0:15.270
8,1,Alexander SMITH,Fort,4:28.444,0:16.994
9,8,Tyler LAIDLAW,Sack-a-Wa,4:31.352,0:19.902
