3:25 PM - Race #64 - Final,col_1,col_2,col_3,col_4,col_5
Place,Ln/co,Crew / équipage,Club,Time/temps,Delta
1,6,Matthew BROWN,Maskwa,4:04.956,0:00.000
2,7,Wesley BARTLETT,Rideau,4:08.364,0:03.408
3,5,Michael ZINCK,Senobe,4:10.014,0:05.058
4,3,Liam MACDONALD,Senobe,4:13.881,0:08.925
5,2,Josh SARGANT,Mississauga,4:14.623,0:09.667
6,10,Nolen MITCHELL,Banook,4:17.847,0:12.891
7,8,Shawn GE,Burloak,4:18.588,0:13.632
8,1,Emmett PATTERSON,Wascana,4:19.784,0:14.828
9,9,Roenn HODGINS,Carleton Place,4:20.422,0:15.466
10,4,Alec MACAULAY,Cheema,4:21.922,0:16.966
