3:01 PM - Race #60 - Final,col_1,col_2,col_3,col_4,col_5
Place,Ln/co,Crew / équipage,Club,Time/temps,Delta
1,5,Connor FITZPATRICK,Senobe,3:50.648,0:00.000
2,6,Andrew BILLARD,Maskwa,3:52.354,0:01.706
3,4,Alix PLOMTEUX,Lac-Beauport,3:55.395,0:04.747
4,8,Peter BRADLEY,Rideau,3:55.791,0:05.143
5,3,Nikita CIUDIN,Calgary,3:58.693,0:08.045
6,7,Émile BOUVIER,Pointe-Claire,3:59.044,0:08.396
7,1,Bret HIMMELMAN,Maskwa,4:06.073,0:15.425
8,9,Zachary KRALIK,Mississauga,4:10.820,0:20.172
9,2,Duncan GILES,Senobe,4:24.946,0:34.298
