12:36 PM - Race #38 - Semi 2 - Advancement/Progression:,col_1,col_2,col_3,col_4,col_5
Place,Ln/co,Crew / équipage,Club,Time/temps,Delta
1,5,Émile BOUVIER,Pointe-Claire,4:02.836,0:00.000
2,7,Duncan GILES,Senobe,4:04.135,0:01.299
3,4,Zachary KRALIK,Mississauga,4:04.767,0:01.931
4,6,Nicholas SHIROKOV,Mississauga,4:14.503,0:11.667
5,3,Eric CHOUINARD,Mic Mac,4:15.738,0:12.902
6,2,Konrad MORAWSKI,Mississauga,4:16.083,0:13.247
7,8,Édouard BEAUMIER,Lac-Beauport,4:17.146,0:14.310
8,9,Edgar C DÉSY,Lac-Beauport,4:17.968,0:15.132
9,1,Jeffrey SUN,Fort,4:37.336,0:34.500
