11:20 AM - Race #34 - Heat 4 - Advancement/Progression: 1/6 to SF; Rest Out,col_1,col_2,col_3,col_4,col_5
Place,Ln/co,Crew / équipage,Club,Time/temps,Delta
1,5,Emilee VATERS,Maskwa,2:00.377,0:00.000
2,4,Elizabeth FANOK,Banook,2:01.383,0:01.006
3,6,Matilda BOWERS,Cheema,2:04.090,0:03.713
4,2,Honour MCQUAY,Sydenham,2:11.377,0:11.000
5,8,Rachel JOU,Richmond Hill,2:11.618,0:11.241
6,3,Amalia JORDAN,Calgary,2:14.934,0:14.557
7,9,Catherine NORMAN,Mic Mac,2:15.308,0:14.931
8,7,Mia ZAHAB,Cascades,2:19.049,0:18.672
9,1,Brooklyn KEIZER,Mic Mac,2:23.946,0:23.569
