5:52 PM - Race #86 - Heat 2 - Advancement/Progression: 1/3 + next 3 BT to Final; Rest Out,col_1,col_2,col_3,col_4,col_5
Place,Ln/co,Crew / équipage,Club,Time/temps,Delta
1,4,"Matthew BROWN, Alec MACAULAY",Maskwa,1:54.212,0:00.000
2,5,"Emmett PATTERSON, Baer ROBERTSON",Wascana,1:55.879,0:01.667
3,6,"Spencer MCLEOD, Josh SARGANT",Mississauga,1:57.948,0:03.736
4,7,"Aleksander SEREMAK, William WINTONIW",Toba,2:00.183,0:05.971
5,3,"Antoine GAMACHE, Noa PICHÉ",Otterburn,2:04.632,0:10.420
6,2,"Konstantine ARMSTRONG, Najib BITAR",Maskwa,2:05.563,0:11.351
7,1,"Adam MARCOUX, Émile RAYMOND",Lachine,2:06.896,0:12.684
DSQ,8,"Hunter MACK, Nolen MITCHELL",Banook,0:00.000,0:00.000
