2:15 PM - Race #54 - Semi 2 - Advancement/Progression:,col_1,col_2,col_3,col_4,col_5
Place,Ln/co,Crew / équipage,Club,Time/temps,Delta
1,4,Chloe BRYER,Burloak,1:57.102,0:00.000
2,5,Callie LOCH,Rideau,1:58.039,0:00.937
3,3,Eva LOOPER,Burloak,1:58.769,0:01.667
4,6,Brianna SMITH,Maskwa,2:00.734,0:03.632
5,2,Florence HAMEL,Lachine,2:02.102,0:05.000
6,7,Emily BEST,Rideau,2:03.545,0:06.443
7,8,Mathilde PATRY,Trois Rivieres,2:04.935,0:07.833
8,1,Calina BIDAL,Lachine,2:05.682,0:08.580
9,9,Clara BLANCHETTE,Lachine,2:15.091,0:17.989
