5:06 PM - Race #81 - B-Final,col_1,col_2,col_3,col_4,col_5
Place,Ln/co,Crew / équipage,Club,Time/temps,Delta
1,6,Kahlen TSZE,False Creek,2:04.283,0:00.000
2,3,Sofia MARTELI,Maskwa,2:05.525,0:01.242
3,8,Eve WILSON,Wascana,2:05.599,0:01.316
4,7,Lilliana SATO,Richmond Hill,2:07.266,0:02.983
5,9,Zoe HATFIELD,Ottawa,2:07.444,0:03.161
6,5,Norah LEGGE,Banook,2:08.421,0:04.138
7,4,Matilda BOWERS,Cheema,2:09.220,0:04.937
8,2,Justine TREMBLAY,Lac-Beauport,2:10.094,0:05.811
9,1,Katie GAUDET,Banook,2:10.444,0:06.161
