1:18 PM - Race #45 - Semi 1 - Advancement/Progression: 1/2 + next BT to Final A; 3x3rd + 4x4th + 2x5th BT to Final B; 2x5th + 4x6th + 3 next BT to Final C; Rest Out,col_1,col_2,col_3,col_4,col_5
Place,Ln/co,Crew / équipage,Club,Time/temps,Delta
1,6,Nicholas LAPIERRE,Banook,3:45.749,0:00.000
2,4,Damian HICKEY,Kamloops,3:46.456,0:00.707
3,5,Conrad HOOGERBOORD,Senobe,3:51.346,0:05.597
4,7,Louis Enzo ROY,Lac-Beauport,3:55.289,0:09.540
5,2,Ty COLLVER,Burloak,3:55.404,0:09.655
6,1,Neil RISSESCO,Senobe,4:01.042,0:15.293
7,8,George FARNSWORTH,Rideau,4:03.272,0:17.523
8,3,Ben WALKER,Maskwa,4:05.065,0:19.316
9,9,Jonothan BARRETT,South Niagara,4:05.818,0:20.069
