3:37 PM - Race #66 - Final,col_1,col_2,col_3,col_4,col_5
Place,Ln/co,Crew / équipage,Club,Time/temps,Delta
1,5,Vincent JOURDENAIS,Trois Rivieres,3:39.551,0:00.000
2,3,Cameron LOW,Balmy Beach,3:39.936,0:00.385
3,7,Nicholas MATVEEV,Balmy Beach,3:40.264,0:00.713
4,2,Alex ERITH-ELLWOOD,Senobe,3:41.959,0:02.408
5,6,Ian GAUDET,Banook,3:43.138,0:03.587
6,9,Jérémy LANTZ,Trois Rivieres,3:43.276,0:03.725
7,1,Nathan DAOUST,Lac-Beauport,3:43.345,0:03.794
8,4,Jason BURKHOLDER,Burloak,3:44.615,0:05.064
9,8,Craig JOHNSON,Senobe,3:46.701,0:07.150
