6:02 PM - Race #88 - Heat 2 - Advancement/Progression: 1/2 + next 3 BT to Final; 3/5 + next 3 BT to B Final,col_1,col_2,col_3,col_4,col_5
Place,Ln/co,Crew / équipage,Club,Time/temps,Delta
1,5,"Damian HICKEY, Harris HUNTER",Kamloops,1:41.832,0:00.000
2,6,"Lukas GOAS, Douglas HUNTER",Kamloops,1:43.580,0:01.748
3,8,"Victor GIRARD, Jonathan PIGEON",Lac-Beauport,1:44.286,0:02.454
4,7,"Benjamin PELLETIER, Laurent ROULEAU",Lachine,1:45.729,0:03.897
5,1,"Marcelo DE ANDRADE, Bo LOWERY",Pointe-Claire,1:48.292,0:06.460
6,2,"Jonathan HUNTINGTON, Ben ROBICHAUD",Senobe,1:50.568,0:08.736
7,3,"Ethan OLSON-MESA, Breas ROSS",Toba,1:55.654,0:13.822
8,4,"Lucas MACLEAN, Neil RISSESCO",Senobe,1:55.844,0:14.012
